3,0,0,0,0,3,6,5,9,5,9,6,3,3,2,7,1,0,5,4,3,1,2,0
4,0,0,0,0,0,1,2,0,3,1,1,2,4,3,1,0,2,3,2,2,1,1,1
2,3,0,0,0,5,7,6,5,12,6,4,7,5,3,6,4,6,3,4,3,4,8,3
5,7,2,2,1,2,8,0,2,5,7,5,4,12,9,9,6,6,7,8,4,7,10,1
5,1,1,0,0,8,6,2,7,12,5,9,8,12,4,7,5,2,3,6,5,2,0,3
0,1,0,1,0,0,0,0,0,0,2,0,1,1,2,1,0,0,1,0,1,0,0,0
5,1,7,3,0,5,7,4,7,9,1,10,8,8,7,7,7,5,7,13,6,6,2,3
2,1,2,3,0,1,4,1,2,2,2,1,0,3,2,1,2,3,3,9,4,3,3,0
3,1,0,0,0,4,2,2,2,3,3,3,4,2,3,3,1,1,0,0,0,3,0,0
6,5,2,2,0,7,16,15,24,18,16,16,24,13,10,15,13,16,13,12,8,10,6,4
11,3,1,1,0,2,5,1,1,5,4,3,6,6,2,4,4,5,3,7,8,5,3,1
5,0,1,2,2,5,15,14,8,24,15,14,19,14,16,11,9,20,13,13,8,7,5,1
10,3,2,0,1,0,4,8,5,5,7,10,5,8,7,2,7,6,9,11,10,9,3,3
16,9,10,5,5,10,11,12,10,16,15,19,19,19,17,14,12,7,7,12,12,13,5,9
17,14,4,5,3,2,8,4,3,9,23,14,18,15,24,12,15,14,17,21,9,14,11,12
3,0,1,1,0,0,0,3,1,4,4,0,0,3,2,1,5,0,1,0,3,2,2,0
0,0,1,1,0,1,1,0,0,0,3,0,1,2,1,2,2,1,2,1,1,0,0,0
2,4,1,0,0,1,5,0,0,3,2,0,2,0,0,1,3,6,2,4,2,4,1,0
4,2,3,0,1,2,5,3,3,3,4,6,6,5,11,8,5,8,6,7,3,7,4,2
4,4,4,2,5,4,11,4,1,8,3,3,4,6,2,3,6,5,7,1,4,1,4,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,5,0,2,5,11,14,14,11,11,5,6,2,4,7,6,4,4,4,3,0,2,1
5,4,2,1,1,8,15,10,14,24,13,12,11,7,7,20,7,18,7,10,13,9,5,4
4,0,3,1,1,4,5,11,12,4,3,9,10,3,7,7,7,3,2,3,1,1,1,0
14,4,1,2,0,6,18,11,12,16,19,16,24,23,24,17,19,26,19,37,35,41,20,7
53,14,6,1,3,12,27,23,38,47,46,45,74,71,54,72,73,55,54,81,101,91,71,22
13,5,1,1,0,4,9,7,3,8,8,13,10,12,4,12,4,7,4,9,5,5,9,1
22,9,5,0,1,5,14,9,13,9,13,9,15,15,13,14,16,11,7,11,15,17,11,5
20,10,5,3,2,7,15,10,13,8,12,17,13,21,12,10,16,11,13,24,13,14,12,9
5,1,2,1,0,5,12,5,5,3,10,9,9,9,9,4,4,8,10,10,6,8,3,3
3,2,2,0,0,3,6,9,9,12,9,20,13,15,18,15,19,10,7,22,14,14,6,4
